"InstitutionID","Symbol","ShortName","EndDate","StateTypeCode","SpecialDiscloseReasons","DebtName"
"10101870","603198","迎驾贡酒","2022-12-31","1","按预付对象归集的期末余额前五名的预付款","山西太钢不锈钢股份有限公司"
"10101870","603198","迎驾贡酒","2022-12-31","1","按预付对象归集的期末余额前五名的预付款","霍山皖能天然气有限公司"
"10101870","603198","迎驾贡酒","2023-12-31","1","按预付对象归集的期末余额前五名的预付款","国网安徽省电力有限公司霍山县供电公司"
"10101870","603198","迎驾贡酒","2023-12-31","1","按预付对象归集的期末余额前五名的预付款","安徽蓝天盈丰环保科技有限公司"
"10101870","603198","迎驾贡酒","2023-12-31","1","按预付对象归集的期末余额前五名的预付款","山西太钢不锈钢股份有限公司"
"10101870","603198","迎驾贡酒","2023-12-31","1","按预付对象归集的期末余额前五名的预付款","昌荣传媒股份有限公司"
"10101870","603198","迎驾贡酒","2023-12-31","1","按预付对象归集的期末余额前五名的预付款","霍山皖能天然气有限公司"
"10101870","603198","迎驾贡酒","2024-12-31","1","按预付对象归集的期末余额前五名的预付款","国网安徽省电力有限公司霍山县供电公司"
"10101870","603198","迎驾贡酒","2024-12-31","1","按预付对象归集的期末余额前五名的预付款","山东嘉腾实业有限公司"
"10101870","603198","迎驾贡酒","2024-12-31","1","按预付对象归集的期末余额前五名的预付款","徐州嘉环科技新材料有限公司"
