"InstitutionID","Symbol","ShortName","EndDate","StateTypeCode","IndustryCode","AccountPayable","Prepayment","AccountReceivable","TotalAssets","ProvidedTradeCredit","ObtainedTradeCredit","BankLoanSize","SupplierPower1"
"101775","000002","万科A","2024-03-31","1","K70","201011851909.3100","58862246237.6900","8775143461.4200","1463869094846.1800","67661963557.9800","202730565703.5800","191576716391.1500","9.7111"
"101775","000002","万科A","2024-06-30","1","K70","193257742272.2600","63870261754.6300","9549710039.7100","1422819020978.8500","73452217008.3000","195060154794.9500","189106821528.5000","9.0937"
"101775","000002","万科A","2024-09-30","1","K70","174167073462.1000","61647640328.8800","9806814949.8500","1357179783436.2000","71465228432.9800","175890083073.2400","186064860810.3200","8.2907"
"101775","000002","万科A","2024-12-31","1","K70","160033042049.1900","54458566802.2100","8110758258.0500","1286259859765.8200","62588184588.2700","161923703830.4300","194859271203.0700","8.2079"
"101775","000002","万科A","2025-03-31","1","K70","134943429425.7600","54630930104.9700","9185366462.3500","1244039386215.6000","63846916935.5300","136875284805.6100","205743868231.2300","6.4558"
"101775","000002","万科A","2025-06-30","1","K70","136231609050.9200","52465463033.8100","9312158899.5500","1194148874774.5500","61805582866.8700","138067357769.4500","201197011895.3200","7.0147"
"101775","000002","万科A","2025-09-30","1","K70","131133791633.2300","51411919711.0800","9588403887.9900","1136594565755.2900","61008875230.8900","133032823123.6200","199792240727.3900","7.0141"
"101775","000002","万科A","2025-12-31","1","K70","130631844311.6600","18101747329.4800","9519075011.0500","1020622831532.8600","27623193239.7400","132491844040.1500","183517194812.6700","11.0256"
"101775","000002","万科A","2026-03-31","1","K70","121078869797.3200","18034110444.7900","10642080519.6700","997406724022.0500","28682472610.9700","122923711753.8900","180503120199.7000","10.3313"
"102294","000004","国华网安","2024-03-31","1","I65","89717115.6100","20498791.4400","177915668.4800","403541367.0600","198454459.9200","89717115.6100","0.0000","17.1527"
"102294","000004","国华网安","2024-06-30","1","I65","90728166.9900","20491647.8800","177339429.6300","396235934.2600","197969077.5100","90728166.9900","0.0000","17.7259"
"102294","000004","国华网安","2024-09-30","1","I65","95000174.0100","20459647.0500","172187390.6700","384542243.3600","192730037.7200","95000174.0100","0.0000","19.3842"
"102294","000004","国华网安","2024-12-31","1","I65","99261322.1000","6309882.8700","78702477.9400","311208761.2000","85147560.8100","99261322.1000","3303428.3300","29.8679"
"102294","000004","国华网安","2025-03-31","1","I65","99621396.1400","9224290.7300","76902294.7800","290786365.9700","86261785.5100","99621396.1400","3428.3300","31.0871"
"102294","000004","*ST 国华","2025-06-30","1","I65","97138113.8700","13389534.6700","62768184.6100","279756462.3400","76240719.2800","97138113.8700","3428.3300","29.9362"
"102294","000004","*ST 国华","2025-09-30","1","I65","59510009.0500","27036102.4700","46223019.7500","260545606.8200","73384572.2200","64333273.8400","0.0000","12.4638"
"102294","000004","*ST 国华","2025-12-31","1","I65","144564352.0100","8498052.0800","160901885.0800","411739216.1700","169698387.1600","144564352.0100","0.0000","33.0467"
"102294","000004","*ST 国华","2026-03-31","1","I65","118381398.6800","7600099.0000","118135608.3900","344260967.7100","126284157.3900","118381398.6800","0.0000","32.1795"
"102296","000006","深振业A","2024-03-31","1","K70","1349984500.5900","80717702.3500","44318751.3100","25765300700.5900","125036453.6600","1350380270.7600","4247937336.7500","4.9263"
"102296","000006","深振业A","2024-06-30","1","K70","1551774738.1100","82038029.1300","49179203.9400","22587441749.8100","131217233.0700","1554231244.4800","3754496833.7000","6.5069"
"102296","000006","深振业A","2024-09-30","1","K70","1450390143.4500","82953450.3600","47665010.3400","20889216727.6000","130618460.7000","1454596466.5300","3268137903.3500","6.5461"
"102296","000006","深振业A","2024-12-31","1","K70","1435962769.7300","4082014.7800","45811533.9200","17226824619.4600","49893548.7000","1438235972.3500","1748823464.6800","8.3119"
"102296","000006","深振业A","2025-03-31","1","K70","1228157341.0000","2187364.3800","45615737.3400","15433975941.6700","47803101.7200","1229671629.5400","1690085643.6400","7.9433"
"102296","000006","深振业A","2025-06-30","1","K70","1221303532.7700","2035948.8200","43782198.4200","16097408845.9800","45818147.2400","1221775898.3300","1930887227.6800","7.5743"
"102296","000006","深振业A","2025-09-30","1","K70","1181329233.2700","2804801.2500","46517552.6200","17269311415.8100","49322353.8700","1181656933.0100","1416177667.6800","6.8244"
